[12/Sep/2020:11:55:21 +0000] 157.49.162.224 nginx to 127.0.0.1:5000 [GET / HTTP/1.1] request_time 0.004 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:55:26 +0000] 47.9.99.217 nginx to 127.0.0.1:5001 [POST /check-commit-web/ HTTP/1.1] request_time 0.636 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:55:26 +0000] 47.9.99.217 nginx to 172.105.63.71:5001 [GET / HTTP/1.1] request_time 0.011 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:56:38 +0000] 47.9.99.217 nginx to 172.105.63.71:5002 [POST /check-commit-web/ HTTP/1.1] request_time 0.726 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:56:38 +0000] 47.9.99.217 nginx to [::1]:5001, [::1]:5000, 127.0.0.1:5002 [GET / HTTP/1.1] request_time 0.005 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:57:36 +0000] 47.9.99.217 nginx to [::1]:5002, 172.105.63.71:5000 [POST /quiz-question-1 HTTP/1.1] request_time 0.011 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:57:37 +0000] 47.9.99.217 nginx to 127.0.0.1:5000 [GET / HTTP/1.1] request_time 0.006 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:59:04 +0000] 47.9.99.217 nginx to 127.0.0.1:5001 [POST /quiz-question-2 HTTP/1.1] request_time 0.004 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:59:04 +0000] 47.9.99.217 nginx to 172.105.63.71:5001 [GET / HTTP/1.1] request_time 0.010 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:12:00:25 +0000] 59.94.151.56 nginx to 172.105.63.71:5002 [GET / HTTP/1.1] request_time 0.013 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36 Edg/85.0.564.51
